model,language,category,emotion,emotion_strategy,neutral_strategy,projection_emotion,projection_identity,projection_random,projection_shuffled_emotion,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled
bielik_1_5b_v3,en,situation,disgust,centroid_phrases,neutral_centroid,0.07162663820199663,0.025543742580339292,0.015333715965971339,0.0677052933722734,0.04608289562165734,0.05629292223602529,0.003921344829723228
bielik_1_5b_v3,en,situation,disgust,centroid_words,neutral_centroid,0.01376759773120283,-0.01027488419786093,-0.014048909652046821,0.00786381149664521,0.02404248192906376,0.02781650738324965,0.005903786234557621
bielik_1_5b_v3,en,situation,disgust,feeling_phrase,neutral_centroid,0.06371129034087057,0.024534600321203442,0.01594459693878888,0.06458640377968546,0.03917669001966713,0.04776669340208169,-0.000875113438814884
bielik_1_5b_v3,en,situation,disgust,single_word,neutral_centroid,0.01180305702146138,-0.00962979907635599,-0.010910250130109479,0.01201436126139011,0.021432856097817372,0.02271330715157086,-0.00021130423992873036
bielik_1_5b_v3,en,situation,joy,centroid_phrases,neutral_centroid,0.07310726605355736,0.02629352258518337,0.029972254205495107,0.06971771428361531,0.04681374346837398,0.043135011848062246,0.003389551769942045
bielik_1_5b_v3,en,situation,joy,centroid_words,neutral_centroid,0.00446301950141786,-0.011534095555543892,-0.01216173917055129,0.00330759319476782,0.01599711505696175,0.01662475867196915,0.0011554263066500398
bielik_1_5b_v3,en,situation,joy,feeling_phrase,neutral_centroid,0.07642723992466922,0.02942447895184158,0.03381049642339347,0.07016606833785768,0.04700276097282764,0.042616743501275756,0.00626117158681154
bielik_1_5b_v3,en,situation,joy,single_word,neutral_centroid,0.0078121172264218304,-0.01763306693173944,-0.01859519653953611,0.0007947502657771304,0.025445184158161268,0.02640731376595794,0.0070173669606447
bielik_1_5b_v3,en,situation,sadness,centroid_phrases,neutral_centroid,0.06671398449689145,0.02443939247168598,0.0278154818806797,0.06666576913557942,0.04227459202520547,0.03889850261621175,4.8215361312026195e-05
bielik_1_5b_v3,en,situation,sadness,centroid_words,neutral_centroid,-0.00487777870148422,-0.011587243899703021,-0.01472723754122853,-0.0019908816553652503,0.006709465198218801,0.00984945883974431,-0.0028868970461189696
bielik_1_5b_v3,en,situation,sadness,feeling_phrase,neutral_centroid,0.04133176803588863,0.017740995157510032,0.02020676173269747,0.048601517826318705,0.0235907728783786,0.02112500630319116,-0.0072697497904300745
bielik_1_5b_v3,en,situation,sadness,single_word,neutral_centroid,0.00594093077816066,0.0019181109964847398,-0.0002594044432044099,0.0023415810195728803,0.00402281978167592,0.00620033522136507,0.0035993497585877793
bielik_1_5b_v3,pl,food,anger,centroid_phrases,neutral_centroid,0.04538974892348045,0.024275569454766787,0.01896164598874746,0.04538974892348045,0.021114179468713665,0.02642810293473299,0.0
bielik_1_5b_v3,pl,food,anger,centroid_words,neutral_centroid,-0.00720736514776944,-0.009555614925920958,-0.01467077955603598,-0.00720736514776944,0.0023482497781515182,0.007463414408266539,0.0
bielik_1_5b_v3,pl,food,anger,feeling_phrase,neutral_centroid,0.04322256892919536,0.02341345128370445,0.017842565837781852,0.04322256892919536,0.019809117645490912,0.02538000309141351,0.0
bielik_1_5b_v3,pl,food,anger,single_word,neutral_centroid,-0.0015010361210442992,-0.00882629366824402,-0.0135091734700836,-0.008826293668244018,0.00732525754719972,0.012008137349039301,0.007325257547199719
bielik_1_5b_v3,pl,food,disgust,centroid_phrases,neutral_centroid,0.06133869849145408,0.031043676729313997,0.03307800560723988,0.05704725868999953,0.030295021762140086,0.028260692884214206,0.00429143980145455
bielik_1_5b_v3,pl,food,disgust,centroid_words,neutral_centroid,0.02063732438255096,0.01132871678564694,0.012411622074432641,0.01132871678564694,0.009308607596904021,0.00822570230811832,0.009308607596904021
bielik_1_5b_v3,pl,food,disgust,feeling_phrase,neutral_centroid,0.047654125280678215,0.02585817102808502,0.028484187577851077,0.04765412528067822,0.021795954252593196,0.019169937702827138,-6.938893903907228e-18
bielik_1_5b_v3,pl,food,disgust,single_word,neutral_centroid,0.023306262167170612,0.00938423299230634,0.0109174380544573,0.00938423299230634,0.013922029174864271,0.012388824112713312,0.013922029174864271
bielik_1_5b_v3,pl,food,joy,centroid_phrases,neutral_centroid,0.04441241472959513,0.02315801521763203,0.02053036552388219,0.04441241472959513,0.0212543995119631,0.023882049205712942,0.0
bielik_1_5b_v3,pl,food,joy,centroid_words,neutral_centroid,-0.0021137217991054045,-0.0021137217991054045,-0.002089056093245744,-0.0040596128907054605,0.0,-2.466570585966032e-05,0.001945891091600056
