model,model_id,pooling_strategy,language,category,category_text,emotion,condition,condition_emotion,emotion_strategy,emotion_terms,condition_emotion_terms,neutral_strategy,neutral_terms,candidate,candidate_category,candidate_source,rank,cosine_similarity,projection_on_emotion_direction,same_category,candidate_identical_to_category,candidate_contains_emotion,average_similarity_top_k,average_projection_top_k,category_retention_at_k,direction_norm,query_norm
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,random,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,meal,vocabulary,meal,5,0.4233192801475525,-0.09079854190349579,False,False,False,0.43139010667800903,-0.04763786001130939,0.0,1.0,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,random,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,foodstuffs,vocabulary,foodstuffs,6,0.40956759452819824,-0.04363664984703064,False,False,False,0.43139010667800903,-0.04763786001130939,0.0,1.0,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,random,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,condiment,vocabulary,condiment,7,0.4081982970237732,-0.1350998878479004,False,False,False,0.43139010667800903,-0.04763786001130939,0.0,1.0,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,random,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,gastronomy,vocabulary,gastronomy,8,0.406538724899292,-0.011951771564781666,False,False,False,0.43139010667800903,-0.04763786001130939,0.0,1.0,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,random,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,meat,vocabulary,meat,9,0.3993738889694214,-0.12951475381851196,False,False,False,0.43139010667800903,-0.04763786001130939,0.0,1.0,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,random,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,restaurant,vocabulary,restaurant,10,0.398183137178421,-0.036932431161403656,False,False,False,0.43139010667800903,-0.04763786001130939,0.0,1.0,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,shuffled_emotion,disgust,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,foods,vocabulary,foods,1,0.4890596866607666,-0.03450353071093559,False,False,False,0.4277864098548889,0.13508024848997593,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,shuffled_emotion,disgust,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,eating,vocabulary,eating,2,0.46919530630111694,0.139219269156456,False,False,False,0.4277864098548889,0.13508024848997593,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,shuffled_emotion,disgust,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,feeling,vocabulary,feeling,3,0.4643048644065857,0.40598785877227783,False,False,False,0.4277864098548889,0.13508024848997593,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,shuffled_emotion,disgust,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,cooking,vocabulary,cooking,4,0.43798261880874634,0.08792202919721603,False,False,False,0.4277864098548889,0.13508024848997593,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,shuffled_emotion,disgust,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,feelings,vocabulary,feelings,5,0.42130130529403687,0.3455634117126465,False,False,False,0.4277864098548889,0.13508024848997593,0.0,1.1069309711456299,1.0
