model,language,category,emotion,emotion_strategy,neutral_strategy,projection_emotion,projection_identity,projection_random,projection_shuffled_emotion,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled
arctic_embed_l_v2,en,object,negative,centroid_phrases,neutral_centroid,0.36742700971663,0.08031108342111107,0.08726869542151686,0.3640315596014261,0.28711592629551896,0.2801583142951132,0.003395450115203924
arctic_embed_l_v2,en,object,positive,centroid_phrases,neutral_centroid,0.3680301841348409,0.0683001354336738,0.08536649048328394,0.3399239998310804,0.2997300487011671,0.28266369365155697,0.028106184303760495
arctic_embed_l_v2,en,object,sadness,centroid_phrases,neutral_centroid,0.41575524397194386,0.06956684775650498,0.041881163977086536,0.23267362155020233,0.34618839621543884,0.37387407999485733,0.18308162242174153
arctic_embed_l_v2,en,person,amusement,centroid_phrases,neutral_centroid,0.19739391179755328,0.04704084070399401,0.020499113155528877,0.17157599451020358,0.15035307109355928,0.1768947986420244,0.025817917287349695
arctic_embed_l_v2,en,person,anger,centroid_phrases,neutral_centroid,0.31002917166333643,0.05402435217984018,0.041156598227098565,0.24567833642940964,0.25600481948349624,0.2688725734362379,0.06435083523392679
arctic_embed_l_v2,en,person,disgust,centroid_phrases,neutral_centroid,0.20717539498582477,0.050956195872276996,0.04896383648738264,0.17688746461644766,0.15621919911354776,0.15821155849844212,0.030287930369377103
arctic_embed_l_v2,en,person,excitement,centroid_phrases,neutral_centroid,0.22388150375336405,0.05053257020190355,0.05680179800838229,0.217099392786622,0.1733489335514605,0.16707970574498177,0.006782110966742055
arctic_embed_l_v2,en,person,fear,centroid_phrases,neutral_centroid,0.2863593517336994,0.05132396710105238,0.050737424613907914,0.1429332844447344,0.23503538463264703,0.23562192711979152,0.143426067288965
arctic_embed_l_v2,en,person,joy,centroid_phrases,neutral_centroid,0.2315050246194005,0.05436885086819528,0.019174819719046367,0.18445444442331788,0.17713617375120522,0.21233020490035415,0.04705058019608263
arctic_embed_l_v2,en,person,love,centroid_phrases,neutral_centroid,0.3021028170362115,0.04180764853954314,0.04180764853954314,0.20215013753622765,0.26029516849666834,0.26029516849666834,0.09995267949998385
arctic_embed_l_v2,en,person,negative,centroid_phrases,neutral_centroid,0.22225871738046407,0.04228221625089644,0.035659378394484506,0.227199331484735,0.17997650112956765,0.18659933898597958,-0.004940614104270935
arctic_embed_l_v2,en,person,positive,centroid_phrases,neutral_centroid,0.19939394649118186,0.04515021871775389,0.02218003906309605,0.21209467183798553,0.15424372777342799,0.17721390742808582,-0.012700725346803665
arctic_embed_l_v2,en,person,sadness,centroid_phrases,neutral_centroid,0.2520865636412054,0.0615270896349102,0.04083998338319361,0.19338037841953337,0.1905594740062952,0.2112465802580118,0.058706185221672036
arctic_embed_l_v2,en,place,amusement,centroid_phrases,neutral_centroid,0.12759706396609544,-0.00978938098996875,-0.00453112050890921,0.1627744922414422,0.1373864449560642,0.13212818447500466,-0.035177428275346756
arctic_embed_l_v2,en,place,anger,centroid_phrases,neutral_centroid,0.16144008841365576,0.029943479318171724,0.01838181465864181,0.23025303687900306,0.13149660909548402,0.14305827375501395,-0.0688129484653473
arctic_embed_l_v2,en,place,disgust,centroid_phrases,neutral_centroid,0.13718950366601343,0.0243548466823995,0.0243548466823995,0.17203232599422333,0.11283465698361393,0.11283465698361393,-0.0348428223282099
arctic_embed_l_v2,en,place,excitement,centroid_phrases,neutral_centroid,0.20532460846006867,0.007522354647517211,-0.00959239080548285,0.1832112669944763,0.19780225381255145,0.21491699926555152,0.02211334146559238
