model,language,category,emotion,condition,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates
bielik_1_5b_v3,pl,person,sadness,emotion,0.883586847782135,0.07084503611549729,1.0,10
bielik_1_5b_v3,pl,person,sadness,identity,0.9412839829921722,0.0019490185193717293,1.0,10
bielik_1_5b_v3,pl,person,sadness,random,0.6658114850521087,0.00194901851937173,1.0,10
bielik_1_5b_v3,pl,person,sadness,shuffled_emotion,0.8793419897556305,0.0765849325805902,1.0,10
bielik_1_5b_v3,pl,place,anger,emotion,0.8790195405483245,0.03313906476832924,1.0,10
bielik_1_5b_v3,pl,place,anger,identity,0.9378216683864593,0.00770608377642929,1.0,10
bielik_1_5b_v3,pl,place,anger,random,0.6684069991111755,0.01312396808061747,1.0,10
bielik_1_5b_v3,pl,place,anger,shuffled_emotion,0.8777368009090424,0.03313906476832924,1.0,10
bielik_1_5b_v3,pl,place,disgust,emotion,0.8728541016578675,0.047542101284489,1.0,10
bielik_1_5b_v3,pl,place,disgust,identity,0.9378216683864593,0.008038647077046329,1.0,10
bielik_1_5b_v3,pl,place,disgust,random,0.673497098684311,0.00717640498187392,1.0,10
bielik_1_5b_v3,pl,place,disgust,shuffled_emotion,0.8771386027336121,0.036352712986990776,1.0,10
bielik_1_5b_v3,pl,place,joy,emotion,0.8771386027336121,0.02516595143824814,1.0,10
bielik_1_5b_v3,pl,place,joy,identity,0.9378216683864593,0.00050524128600955,1.0,10
bielik_1_5b_v3,pl,place,joy,random,0.6734004557132721,0.0068053063936531506,1.0,10
bielik_1_5b_v3,pl,place,joy,shuffled_emotion,0.8790195405483245,0.02516595143824814,1.0,10
bielik_1_5b_v3,pl,place,sadness,emotion,0.8777368009090424,0.03463415866717695,1.0,10
bielik_1_5b_v3,pl,place,sadness,identity,0.9378216683864593,0.00877866884693504,1.0,10
bielik_1_5b_v3,pl,place,sadness,random,0.6413449704647064,0.01738293590024114,1.0,10
bielik_1_5b_v3,pl,place,sadness,shuffled_emotion,0.8728541016578675,0.043669520784169406,1.0,10
bielik_1_5b_v3,pl,situation,anger,emotion,0.8873057842254639,0.055567295756190994,1.0,10
bielik_1_5b_v3,pl,situation,anger,identity,0.9405133783817291,0.006460689660161731,1.0,10
bielik_1_5b_v3,pl,situation,anger,random,0.6751492500305176,0.01964606791734695,1.0,10
bielik_1_5b_v3,pl,situation,anger,shuffled_emotion,0.8879711985588074,0.055567295756190994,1.0,10
bielik_1_5b_v3,pl,situation,disgust,emotion,0.8846234738826751,0.07356171212159093,1.0,10
bielik_1_5b_v3,pl,situation,disgust,identity,0.9405133783817291,0.018387299170717568,1.0,10
bielik_1_5b_v3,pl,situation,disgust,random,0.672609931230545,0.01838729917071757,1.0,10
bielik_1_5b_v3,pl,situation,disgust,shuffled_emotion,0.8893720507621765,0.06934164627455172,1.0,10
bielik_1_5b_v3,pl,situation,joy,emotion,0.8893720507621765,0.060448700119741225,1.0,10
bielik_1_5b_v3,pl,situation,joy,identity,0.9405133783817291,0.011031816457398206,1.0,10
bielik_1_5b_v3,pl,situation,joy,random,0.6717464327812195,0.023681073565967357,1.0,10
bielik_1_5b_v3,pl,situation,joy,shuffled_emotion,0.8873057842254639,0.060448700119741225,1.0,10
bielik_1_5b_v3,pl,situation,sadness,emotion,0.8879711985588074,0.06320347823202607,1.0,10
bielik_1_5b_v3,pl,situation,sadness,identity,0.9405133783817291,0.01397380721755325,1.0,10
bielik_1_5b_v3,pl,situation,sadness,random,0.6758711934089661,0.01644575293175876,1.0,10
bielik_1_5b_v3,pl,situation,sadness,shuffled_emotion,0.8846234738826751,0.06695356443524357,1.0,10
bielik_1_5b_v3,zh,food,anger,emotion,0.6327764809131622,0.05831007016822694,1.0,10
bielik_1_5b_v3,zh,food,anger,identity,0.7707633137702942,-0.006300408486276851,1.0,10
bielik_1_5b_v3,zh,food,anger,random,0.5468489050865173,-0.006300408486276851,1.0,10
bielik_1_5b_v3,zh,food,anger,shuffled_emotion,0.6528239846229553,0.044691239483654485,1.0,10
bielik_1_5b_v3,zh,food,disgust,emotion,0.6348957777023315,0.08356840088963503,1.0,10
bielik_1_5b_v3,zh,food,disgust,identity,0.7707633137702942,0.015832834690809244,1.0,10
bielik_1_5b_v3,zh,food,disgust,random,0.5372401654720307,0.015832834690809244,1.0,10
bielik_1_5b_v3,zh,food,disgust,shuffled_emotion,0.6522691547870636,0.07004979550838467,1.0,10
bielik_1_5b_v3,zh,food,joy,emotion,0.6522691547870636,0.07066149469465013,1.0,10
bielik_1_5b_v3,zh,food,joy,identity,0.7707633137702942,0.018714153580367567,1.0,10
bielik_1_5b_v3,zh,food,joy,random,0.5381691098213196,0.013636164553463458,1.0,10
bielik_1_5b_v3,zh,food,joy,shuffled_emotion,0.6327764809131622,0.07590028997510669,1.0,10
bielik_1_5b_v3,zh,food,sadness,emotion,0.6528239846229553,0.049009517394006205,1.0,10
bielik_1_5b_v3,zh,food,sadness,identity,0.7707633137702942,-0.0039935065433383,1.0,10
bielik_1_5b_v3,zh,food,sadness,random,0.5591733932495118,0.009186691604554641,1.0,10
bielik_1_5b_v3,zh,food,sadness,shuffled_emotion,0.6348957777023315,0.05750520359724755,1.0,10
bielik_1_5b_v3,zh,object,anger,emotion,0.6840842425823211,0.08771438524127004,1.0,10
bielik_1_5b_v3,zh,object,anger,identity,0.8290546894073486,0.03253021836280822,1.0,10
bielik_1_5b_v3,zh,object,anger,random,0.5815920531749725,0.03328638672828673,1.0,10
bielik_1_5b_v3,zh,object,anger,shuffled_emotion,0.7011471271514893,0.08254164084792134,1.0,10
bielik_1_5b_v3,zh,object,disgust,emotion,0.6747685492038726,0.07646750700660047,1.0,10
bielik_1_5b_v3,zh,object,disgust,identity,0.8290546894073486,0.027448516385629763,1.0,10
bielik_1_5b_v3,zh,object,disgust,random,0.5830564022064209,0.022294735955074422,1.0,10
bielik_1_5b_v3,zh,object,disgust,shuffled_emotion,0.689347219467163,0.06952964500524103,1.0,10
bielik_1_5b_v3,zh,object,joy,emotion,0.689347219467163,0.05954764739144595,1.0,10
bielik_1_5b_v3,zh,object,joy,identity,0.8290546894073486,0.013584560272283877,1.0,10
bielik_1_5b_v3,zh,object,joy,random,0.5998287856578827,0.016394751635380116,1.0,10
bielik_1_5b_v3,zh,object,joy,shuffled_emotion,0.6840842425823211,0.05683336809743197,1.0,10
bielik_1_5b_v3,zh,object,sadness,emotion,0.7011471271514893,0.07286644154228268,1.0,10
bielik_1_5b_v3,zh,object,sadness,identity,0.8290546894073486,0.02912650355137885,1.0,10
bielik_1_5b_v3,zh,object,sadness,random,0.5960551559925079,0.024119562702253468,1.0,10
