model,language,category,emotion,emotion_strategy,neutral_strategy,projection_emotion,projection_identity,projection_random,projection_shuffled_emotion,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled
bielik_1_5b_v3,en,situation,joy,centroid_phrases,neutral_centroid,0.07310726605355736,0.02629352258518337,0.029972254205495107,0.06971771428361531,0.04681374346837398,0.043135011848062246,0.003389551769942045
bielik_1_5b_v3,en,situation,sadness,centroid_phrases,neutral_centroid,0.06671398449689145,0.02443939247168598,0.0278154818806797,0.06666576913557942,0.04227459202520547,0.03889850261621175,4.8215361312026195e-05
bielik_1_5b_v3,pl,food,anger,centroid_phrases,neutral_centroid,0.04538974892348045,0.024275569454766787,0.01896164598874746,0.04538974892348045,0.021114179468713665,0.02642810293473299,0.0
bielik_1_5b_v3,pl,food,disgust,centroid_phrases,neutral_centroid,0.06133869849145408,0.031043676729313997,0.03307800560723988,0.05704725868999953,0.030295021762140086,0.028260692884214206,0.00429143980145455
bielik_1_5b_v3,pl,food,joy,centroid_phrases,neutral_centroid,0.04441241472959513,0.02315801521763203,0.02053036552388219,0.04441241472959513,0.0212543995119631,0.023882049205712942,0.0
bielik_1_5b_v3,pl,food,sadness,centroid_phrases,neutral_centroid,0.04646412692964072,0.023785587423481008,0.02097711276728656,0.05016283951699729,0.022678539506159712,0.02548701416235416,-0.003698712587356573
bielik_1_5b_v3,pl,object,anger,centroid_phrases,neutral_centroid,0.06645743367262179,0.0042873965576291,-0.0016915996093302996,0.07499112025834616,0.062170037114992686,0.06814903328195208,-0.00853368658572437
bielik_1_5b_v3,pl,object,disgust,centroid_phrases,neutral_centroid,0.08517060689628121,-0.0032016340643167404,0.00036010872572661936,0.0667595173232257,0.08837224096059795,0.0848104981705546,0.01841108957305551
bielik_1_5b_v3,pl,object,joy,centroid_phrases,neutral_centroid,0.06521473177708684,0.0024613135028630695,0.0005039379466325293,0.06521473177708684,0.06275341827422377,0.0647107938304543,0.0
bielik_1_5b_v3,pl,object,sadness,centroid_phrases,neutral_centroid,0.0735629674978554,0.00108099323697389,0.004437594558112319,0.07989665130153296,0.07248197426088152,0.06912537293974308,-0.006333683803677562
bielik_1_5b_v3,pl,person,anger,centroid_phrases,neutral_centroid,0.05628813719376916,-0.0015888466499746003,0.004160998109728082,0.0660807254724204,0.05787698384374376,0.05212713908404108,-0.009792588278651239
bielik_1_5b_v3,pl,person,disgust,centroid_phrases,neutral_centroid,0.08035647596698249,0.00231525439303367,0.00936182129662481,0.0636364448582753,0.07804122157394883,0.07099465467035768,0.016720031108707192
bielik_1_5b_v3,pl,person,joy,centroid_phrases,neutral_centroid,0.05444127982482309,-0.0028920188546180995,-0.007264739088714139,0.05444127982482309,0.05733329867944119,0.061706018913537226,0.0
bielik_1_5b_v3,pl,person,sadness,centroid_phrases,neutral_centroid,0.07084503611549729,0.0019490185193717293,0.00194901851937173,0.0765849325805902,0.06889601759612557,0.06889601759612557,-0.005739896465092903
bielik_1_5b_v3,pl,place,anger,centroid_phrases,neutral_centroid,0.03313906476832924,0.00770608377642929,0.01312396808061747,0.03313906476832924,0.025432980991899952,0.020015096687711773,0.0
bielik_1_5b_v3,pl,place,disgust,centroid_phrases,neutral_centroid,0.047542101284489,0.008038647077046329,0.00717640498187392,0.036352712986990776,0.03950345420744267,0.04036569630261508,0.011189388297498222
