model,language,category,emotion,condition,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates
bielik_1_5b_v3,en,object,sadness,identity,0.9272862732410431,0.020094727631658284,1.0,10
bielik_1_5b_v3,en,object,sadness,random,0.6520334839820862,0.02379481750540432,1.0,10
bielik_1_5b_v3,en,object,sadness,shuffled_emotion,0.8737397193908691,0.04329902916215356,1.0,16
bielik_1_5b_v3,en,person,amusement,emotion,0.9106837630271911,0.06260441563790661,1.0,13
bielik_1_5b_v3,en,person,amusement,identity,0.9403943061828614,0.01957634999416768,1.0,10
bielik_1_5b_v3,en,person,amusement,random,0.6708188652992249,0.026602074084803452,1.0,10
bielik_1_5b_v3,en,person,amusement,shuffled_emotion,0.9016831248998642,0.06185378845548254,1.0,12
bielik_1_5b_v3,en,person,anger,emotion,0.9029169887304306,0.045928003359585974,1.0,17
bielik_1_5b_v3,en,person,anger,identity,0.9403943061828614,0.008771370910108095,1.0,10
bielik_1_5b_v3,en,person,anger,random,0.6458964586257935,0.010285688517615205,1.0,10
bielik_1_5b_v3,en,person,anger,shuffled_emotion,0.9056434512138367,0.04414226985536514,1.0,18
bielik_1_5b_v3,en,person,disgust,emotion,0.891787588596344,0.04920200824271882,1.0,14
bielik_1_5b_v3,en,person,disgust,identity,0.9403943061828614,0.00829734280705451,1.0,10
bielik_1_5b_v3,en,person,disgust,random,0.6571616530418396,0.005932010547257955,1.0,10
bielik_1_5b_v3,en,person,disgust,shuffled_emotion,0.8993116021156311,0.04431303201708939,1.0,15
bielik_1_5b_v3,en,person,excitement,emotion,0.9016831248998642,0.06254797556903209,1.0,12
bielik_1_5b_v3,en,person,excitement,identity,0.9403943061828614,0.015660400129854674,1.0,10
bielik_1_5b_v3,en,person,excitement,random,0.6738529860973358,0.016394137730821955,1.0,10
bielik_1_5b_v3,en,person,excitement,shuffled_emotion,0.9111727833747864,0.046827474865131044,1.0,16
bielik_1_5b_v3,en,person,fear,emotion,0.9056434512138367,0.0607244862010702,1.0,18
bielik_1_5b_v3,en,person,fear,identity,0.9403943061828614,0.01648224827367811,1.0,10
bielik_1_5b_v3,en,person,fear,random,0.6666442334651947,0.016217709169723087,1.0,10
bielik_1_5b_v3,en,person,fear,shuffled_emotion,0.9106837630271911,0.050155366235412634,1.0,13
bielik_1_5b_v3,en,person,joy,emotion,0.8993116021156311,0.051335831475444106,1.0,15
bielik_1_5b_v3,en,person,joy,identity,0.9403943061828614,0.014978629001416255,1.0,10
bielik_1_5b_v3,en,person,joy,random,0.6640336394309998,0.02007082055788485,1.0,10
bielik_1_5b_v3,en,person,joy,shuffled_emotion,0.9029169887304306,0.05000503046903756,1.0,17
bielik_1_5b_v3,en,person,love,emotion,0.9111727833747864,0.05351449609734114,1.0,16
bielik_1_5b_v3,en,person,love,identity,0.9403943061828614,0.017067251494154313,1.0,10
bielik_1_5b_v3,en,person,love,random,0.6572753310203552,0.016253319848328805,1.0,10
bielik_1_5b_v3,en,person,love,shuffled_emotion,0.8961955428123474,0.042515863478183716,1.0,16
bielik_1_5b_v3,en,person,negative,emotion,0.9008958488702774,0.04134783868794327,1.0,15
bielik_1_5b_v3,en,person,negative,identity,0.9403943061828614,-0.0019537129614036544,1.0,10
bielik_1_5b_v3,en,person,negative,random,0.6623049855232239,0.0070378895674366405,1.0,10
bielik_1_5b_v3,en,person,negative,shuffled_emotion,0.9128212809562684,0.020748091582208854,1.0,15
bielik_1_5b_v3,en,person,positive,emotion,0.8961955428123474,0.029669160547200583,1.0,16
bielik_1_5b_v3,en,person,positive,identity,0.9403943061828614,0.0005229194299317993,1.0,10
bielik_1_5b_v3,en,person,positive,random,0.6665492713451385,-0.0030473594903014448,1.0,10
bielik_1_5b_v3,en,person,positive,shuffled_emotion,0.9008958488702774,0.029144350031856437,1.0,15
bielik_1_5b_v3,en,person,sadness,emotion,0.9128212809562684,0.05770974532933902,1.0,15
bielik_1_5b_v3,en,person,sadness,identity,0.9403943061828614,0.01740269252331926,1.0,10
bielik_1_5b_v3,en,person,sadness,random,0.6584685742855072,0.02995992834912612,1.0,10
bielik_1_5b_v3,en,person,sadness,shuffled_emotion,0.891787588596344,0.050645197078119916,1.0,14
bielik_1_5b_v3,en,place,amusement,emotion,0.9135953247547149,0.061960363271646154,1.0,14
bielik_1_5b_v3,en,place,amusement,identity,0.9423588514328003,0.04289720978122201,1.0,10
bielik_1_5b_v3,en,place,amusement,random,0.6957945883274078,0.04484094127546992,1.0,10
bielik_1_5b_v3,en,place,amusement,shuffled_emotion,0.9011170566082001,0.05995166737120594,1.0,14
bielik_1_5b_v3,en,place,anger,emotion,0.9008298397064209,0.03245922101195899,1.0,14
bielik_1_5b_v3,en,place,anger,identity,0.9423588514328003,0.014269424905069156,1.0,10
bielik_1_5b_v3,en,place,anger,random,0.6732976555824279,0.022033295803703345,1.0,10
bielik_1_5b_v3,en,place,anger,shuffled_emotion,0.9016168236732482,0.033275905158370714,1.0,16
bielik_1_5b_v3,en,place,disgust,emotion,0.8905434399843216,0.04001128314994272,1.0,14
bielik_1_5b_v3,en,place,disgust,identity,0.9423588514328003,0.021109730307944094,1.0,10
bielik_1_5b_v3,en,place,disgust,random,0.6629817068576813,0.02737056631594893,1.0,10
bielik_1_5b_v3,en,place,disgust,shuffled_emotion,0.8986916303634643,0.04119935031048949,1.0,16
bielik_1_5b_v3,en,place,excitement,emotion,0.9011170566082001,0.05385203643236305,1.0,14
bielik_1_5b_v3,en,place,excitement,identity,0.9423588514328003,0.0363212005468085,1.0,10
bielik_1_5b_v3,en,place,excitement,random,0.6524564146995544,0.04060323277954008,1.0,10
bielik_1_5b_v3,en,place,excitement,shuffled_emotion,0.9037153750658036,0.048434538417495746,1.0,14
bielik_1_5b_v3,en,place,fear,emotion,0.9016168236732482,0.03826560566667464,1.0,16
bielik_1_5b_v3,en,place,fear,identity,0.9423588514328003,0.016473032254725677,1.0,10
bielik_1_5b_v3,en,place,fear,random,0.6801134467124939,0.016473032254725677,1.0,10
bielik_1_5b_v3,en,place,fear,shuffled_emotion,0.9135953247547149,0.03326926429290322,1.0,14
bielik_1_5b_v3,en,place,joy,emotion,0.8986916303634643,0.04803283400833602,1.0,16
bielik_1_5b_v3,en,place,joy,identity,0.9423588514328003,0.023596036294475167,1.0,10
bielik_1_5b_v3,en,place,joy,random,0.6844475388526916,0.023896546335890865,1.0,10
bielik_1_5b_v3,en,place,joy,shuffled_emotion,0.9008298397064209,0.042755490541458094,1.0,14
bielik_1_5b_v3,en,place,love,emotion,0.9037153750658036,0.010786663321778172,1.0,14
bielik_1_5b_v3,en,place,love,identity,0.9423588514328003,-0.0029426218941807788,1.0,10
bielik_1_5b_v3,en,place,love,random,0.6813959419727326,-0.0029524402692914097,1.0,10
bielik_1_5b_v3,en,place,love,shuffled_emotion,0.8944959580898285,0.0050266147591173605,1.0,14
bielik_1_5b_v3,en,place,negative,emotion,0.9005055248737335,0.03054669606499371,1.0,14
bielik_1_5b_v3,en,place,negative,identity,0.9423588514328003,0.0102794756181538,1.0,10
bielik_1_5b_v3,en,place,negative,random,0.6586661458015441,0.016376235010102373,1.0,10
bielik_1_5b_v3,en,place,negative,shuffled_emotion,0.9096636086702347,0.026401839125901445,1.0,14
bielik_1_5b_v3,en,place,positive,emotion,0.8944959580898285,0.009721689647994941,1.0,14
bielik_1_5b_v3,en,place,positive,identity,0.9423588514328003,0.000958320382051174,1.0,10
bielik_1_5b_v3,en,place,positive,random,0.6618922233581543,0.0017361433012410994,1.0,10
bielik_1_5b_v3,en,place,positive,shuffled_emotion,0.9005055248737335,0.01403621917124838,1.0,14
bielik_1_5b_v3,en,place,sadness,emotion,0.9096636086702347,0.04126107294578102,1.0,14
bielik_1_5b_v3,en,place,sadness,identity,0.9423588514328003,0.025208273110911228,1.0,10
bielik_1_5b_v3,en,place,sadness,random,0.6684919118881225,0.025495775579474838,1.0,10
bielik_1_5b_v3,en,place,sadness,shuffled_emotion,0.8905434399843216,0.0398856817744672,1.0,14
bielik_1_5b_v3,en,situation,amusement,emotion,0.9078976303339005,0.048555352771654715,1.0,16
bielik_1_5b_v3,en,situation,amusement,identity,0.9415907382965087,0.011100968206301355,1.0,10
bielik_1_5b_v3,en,situation,amusement,random,0.658720999956131,0.009115764428861448,1.0,10
bielik_1_5b_v3,en,situation,amusement,shuffled_emotion,0.8967893451452256,0.03671793579123915,1.0,15
