model,language,category,emotion,neutral_strategy,strategy_a,strategy_b,jaccard_top_10
mmlw_roberta_large,en,person,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,en,person,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,en,place,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,en,place,disgust,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
mmlw_roberta_large,en,place,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,en,place,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,en,situation,anger,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,en,situation,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,en,situation,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,en,situation,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,pl,food,anger,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,food,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,food,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,food,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,object,anger,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,object,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,object,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,object,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,person,anger,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
mmlw_roberta_large,pl,person,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,pl,person,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,pl,person,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,pl,place,anger,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,pl,place,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,place,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,place,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,situation,anger,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,situation,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,situation,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
mmlw_roberta_large,pl,situation,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
mmlw_roberta_large,zh,food,anger,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,food,disgust,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,food,joy,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,food,sadness,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,object,anger,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,object,disgust,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,object,joy,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,object,sadness,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,person,anger,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,person,disgust,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,person,joy,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,person,sadness,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,place,anger,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,place,disgust,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,place,joy,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,place,sadness,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,situation,anger,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,situation,disgust,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,situation,joy,neutral_centroid,centroid_phrases,single_word,1.0
mmlw_roberta_large,zh,situation,sadness,neutral_centroid,centroid_phrases,single_word,1.0
qwen3_embedding_8b,en,food,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,en,food,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,en,food,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,en,food,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,en,object,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,en,object,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,en,object,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,en,object,sadness,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
qwen3_embedding_8b,en,person,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,en,person,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,en,person,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,en,person,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,en,place,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,en,place,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,en,place,joy,neutral_centroid,centroid_phrases,single_word,1.0
qwen3_embedding_8b,en,place,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,en,situation,anger,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,en,situation,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,en,situation,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,en,situation,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,pl,food,anger,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,pl,food,disgust,neutral_centroid,centroid_phrases,single_word,1.0
qwen3_embedding_8b,pl,food,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,pl,food,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,pl,object,anger,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
qwen3_embedding_8b,pl,object,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,pl,object,joy,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
qwen3_embedding_8b,pl,object,sadness,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
qwen3_embedding_8b,pl,person,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,pl,person,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,pl,person,joy,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
qwen3_embedding_8b,pl,person,sadness,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
qwen3_embedding_8b,pl,place,anger,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
qwen3_embedding_8b,pl,place,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,pl,place,joy,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
qwen3_embedding_8b,pl,place,sadness,neutral_centroid,centroid_phrases,single_word,0.3333333333333333
qwen3_embedding_8b,pl,situation,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,pl,situation,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,pl,situation,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,pl,situation,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,zh,food,anger,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,zh,food,disgust,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
qwen3_embedding_8b,zh,food,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,zh,food,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,zh,object,anger,neutral_centroid,centroid_phrases,single_word,1.0
qwen3_embedding_8b,zh,object,disgust,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
qwen3_embedding_8b,zh,object,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,zh,object,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,zh,person,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,zh,person,disgust,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,zh,person,joy,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,zh,person,sadness,neutral_centroid,centroid_phrases,single_word,1.0
qwen3_embedding_8b,zh,place,anger,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,zh,place,disgust,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,zh,place,joy,neutral_centroid,centroid_phrases,single_word,1.0
qwen3_embedding_8b,zh,place,sadness,neutral_centroid,centroid_phrases,single_word,0.8181818181818182
qwen3_embedding_8b,zh,situation,anger,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,zh,situation,disgust,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
qwen3_embedding_8b,zh,situation,joy,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
qwen3_embedding_8b,zh,situation,sadness,neutral_centroid,centroid_phrases,single_word,0.6666666666666666
